Gene ID,NC24h_pi_1,NC24h_pi_2,NC24h_pi_3,X24h_pi_1,X24h_pi_2,X24h_pi_3,NC48h_pi_1,NC48h_pi_2,NC48h_pi_3,X48h_pi_1,X48h_pi_2,X48h_pi_3,NC72h_pi_1,NC72h_pi_2,NC72h_pi_3,X72h_pi_1,X72h_pi_2,X72h_pi_3,NC96h_pi_1,NC96h_pi_2,NC96h_pi_3,X96h_pi_1,X96h_pi_2,X96h_pi_3
c100008_g1,37,55,116,210,202,248,37,55,116,209,257,209,37,55,116,567,409,231,37,55,116,622,359,138
c100168_g1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,1,3
c100288_g1,0,0,0,2,3,1,0,0,0,2,5,5,0,0,0,0,0,1,0,0,0,1,0,2
c100426_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21,0,0,0,0,0,12
c100619_g1,0,0,0,4,4,1,0,0,0,5,5,3,0,0,0,2,3,3,0,0,0,7,4,2
c100817_g3,7,6,11,4,21,6,7,6,11,8,13,12,7,6,11,1,2,1,7,6,11,4,2,2
c100982_g1,0,0,0,0,0,0,0,0,0,4,2,3,0,0,0,3,0,1,0,0,0,4,0,0
c101197_g1,0,0,0,6,5,5,0,0,0,0,3,2,0,0,0,0,1,1,0,0,0,5,1,1
c101404_g2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
c101529_g1,0,0,0,5,6,7,0,0,0,7,1,5,0,0,0,11,0,2,0,0,0,0,3,3
c101742_g1,0,0,0,5,2,5,0,0,0,6,9,4,0,0,0,0,2,4,0,0,0,5,3,2
c101978_g1,9,2,2,3,4,10,9,2,2,5,12,7,9,2,2,5,4,6,9,2,2,11,0,0
c102154_g1,1,6,7,0,0,0,1,6,7,0,0,0,1,6,7,0,0,0,1,6,7,2,0,1
c102301_g1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5
c102420_g1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,3,0,0,0,4,1,2
c102509_g1,0,0,1,7,15,13,0,0,1,5,16,4,0,0,1,2,6,0,0,0,1,4,2,2
c102613_g1,0,0,0,2,1,4,0,0,0,2,0,1,0,0,0,1,2,1,0,0,0,1,1,2
c102751_g1,1,0,0,12,20,11,1,0,0,7,20,22,1,0,0,2,6,9,1,0,0,5,8,6
c102856_g1,1,0,0,2,2,0,1,0,0,5,11,14,1,0,0,3,0,1,1,0,0,7,5,1
c102942_g1,0,0,0,7,3,3,0,0,0,3,9,7,0,0,0,1,1,7,0,0,0,12,3,5
c103051_g1,1,4,2,3,8,7,1,4,2,5,11,2,1,4,2,11,5,34,1,4,2,18,12,8
c103172_g1,0,0,0,0,0,0,0,0,0,1,5,8,0,0,0,4,0,9,0,0,0,3,2,8
c103266_g1,21,10,17,11,7,7,21,10,17,9,8,9,21,10,17,5,9,3,21,10,17,15,12,5
c103357_g1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
c103450_g1,0,0,0,12,10,8,0,0,0,37,45,40,0,0,0,23,16,56,0,0,0,129,89,8
c103554_g1,0,0,1,4,2,1,0,0,1,0,1,5,0,0,1,0,2,1,0,0,1,8,0,7
c103638_g1,4,9,3,1,1,2,4,9,3,0,1,1,4,9,3,0,0,0,4,9,3,0,0,1
c103749_g1,17,9,2,1,1,1,17,9,2,1,3,1,17,9,2,1,0,3,17,9,2,1,1,0
c103867_g1,0,0,0,2,5,2,0,0,0,0,9,7,0,0,0,0,0,1,0,0,0,6,3,2
c103967_g1,0,0,2,3,1,2,0,0,2,3,9,1,0,0,2,2,0,1,0,0,2,1,1,0
c10408_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
c104172_g1,1,0,0,3,5,13,1,0,0,9,10,5,1,0,0,2,0,4,1,0,0,6,3,7
c104259_g1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,2,0,0,0,8,4,3
c104373_g1,4,1,0,0,1,3,4,1,0,0,0,1,4,1,0,0,1,0,4,1,0,0,0,0
c104513_g1,0,0,0,3,2,1,0,0,0,3,16,11,0,0,0,1,3,4,0,0,0,4,5,6
c104613_g1,0,0,0,0,1,0,0,0,0,2,5,3,0,0,0,1,0,0,0,0,0,4,0,0
c1046_g1,0,7,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0
c104792_g1,0,0,0,1,1,0,0,0,0,1,4,5,0,0,0,3,0,0,0,0,0,0,0,3
c104881_g1,0,0,0,2,7,0,0,0,0,3,5,6,0,0,0,7,4,9,0,0,0,16,4,7
c104980_g1,0,0,0,1,1,0,0,0,0,3,6,4,0,0,0,0,0,1,0,0,0,5,6,2
c105074_g1,1,1,5,5,1,1,1,1,5,0,1,1,1,1,5,0,1,0,1,1,5,2,0,0
c105167_g1,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,3,2,2,0,0,0,17,3,1
c105274_g1,1,1,2,3,5,2,1,1,2,2,2,4,1,1,2,3,2,4,1,1,2,8,0,5
c105364_g1,0,0,0,5,1,1,0,0,0,1,6,4,0,0,0,0,2,9,0,0,0,11,0,0
c105450_g1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,2,0,0,1,0,0,0
c105562_g1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
c105673_g1,0,0,0,3,1,2,0,0,0,6,6,5,0,0,0,5,4,12,0,0,0,9,1,2
c105786_g1,0,0,0,2,2,1,0,0,0,5,5,9,0,0,0,0,1,3,0,0,0,2,0,2
c105887_g1,0,0,0,2,2,0,0,0,0,3,4,8,0,0,0,0,0,1,0,0,0,3,1,0
c106020_g1,0,0,0,6,2,9,0,0,0,5,8,8,0,0,0,2,6,11,0,0,0,12,3,3
c106119_g1,0,0,0,0,0,5,0,0,0,1,10,3,0,0,0,2,0,6,0,0,0,12,3,1
c106202_g1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,3,0,4
c106280_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
c106397_g1,0,0,0,1,0,0,0,0,0,3,4,6,0,0,0,0,1,2,0,0,0,6,2,0
c106497_g1,2,0,5,0,0,2,2,0,5,0,3,1,2,0,5,4,2,3,2,0,5,2,1,5
c106608_g1,1,0,0,2,3,7,1,0,0,5,4,3,1,0,0,6,4,0,1,0,0,2,2,1
c106723_g2,0,0,0,4,1,2,0,0,0,6,8,8,0,0,0,3,1,4,0,0,0,5,5,1
c106848_g1,0,0,0,4,4,7,0,0,0,1,3,3,0,0,0,3,1,6,0,0,0,8,2,8
c106933_g1,2,0,1,3,2,2,2,0,1,3,4,3,2,0,1,2,1,2,2,0,1,8,2,0
c107045_g1,0,0,0,3,2,0,0,0,0,2,3,1,0,0,0,2,0,2,0,0,0,4,0,1
c107141_g1,1,3,0,3,1,2,1,3,0,1,0,3,1,3,0,2,2,0,1,3,0,1,1,0
c107274_g1,0,1,1,1,7,9,0,1,1,5,6,3,0,1,1,5,4,3,0,1,1,13,4,2
c107428_g1,0,2,4,3,1,2,0,2,4,2,0,1,0,2,4,0,0,0,0,2,4,4,2,0
c107543_g1,0,1,2,2,4,2,0,1,2,2,4,0,0,1,2,1,4,3,0,1,2,2,4,1
c107652_g1,0,1,0,2,3,2,0,1,0,4,3,8,0,1,0,5,3,1,0,1,0,2,3,2
c107751_g1,0,0,0,0,0,2,0,0,0,2,4,3,0,0,0,0,1,2,0,0,0,6,2,3
c107854_g1,0,0,0,2,1,4,0,0,0,2,9,4,0,0,0,1,3,2,0,0,0,12,2,0
c10794_g1,0,0,5,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0
c108051_g1,0,0,1,1,0,2,0,0,1,0,2,4,0,0,1,0,1,1,0,0,1,8,1,1
c108167_g1,0,0,0,4,2,2,0,0,0,4,2,6,0,0,0,5,4,5,0,0,0,2,2,2
c108261_g1,0,0,0,0,2,2,0,0,0,1,3,4,0,0,0,7,4,2,0,0,0,0,2,0
c108367_g1,0,0,0,4,0,1,0,0,0,5,3,6,0,0,0,4,7,23,0,0,0,37,17,5
c108507_g1,0,0,0,1,1,2,0,0,0,1,1,2,0,0,0,5,5,0,0,0,0,8,1,0
c108628_g1,0,0,0,1,1,2,0,0,0,4,1,0,0,0,0,1,3,6,0,0,0,11,5,2
c108744_g1,0,0,0,1,0,3,0,0,0,2,1,4,0,0,0,1,3,1,0,0,0,5,1,4
c108850_g1,0,2,0,5,2,3,0,2,0,11,18,7,0,2,0,1,1,1,0,2,0,2,0,0
c108964_g1,24,36,28,5,0,1,24,36,28,2,1,0,24,36,28,1,0,1,24,36,28,1,0,8
c109082_g1,0,0,0,1,4,3,0,0,0,2,3,0,0,0,0,1,0,6,0,0,0,4,2,0
c109169_g1,0,0,0,1,5,2,0,0,0,11,7,8,0,0,0,13,9,4,0,0,0,5,2,1
c109244_g1,3,6,1,9,4,1,3,6,1,7,9,4,3,6,1,3,4,4,3,6,1,2,7,3
c109326_g1,0,0,0,5,6,4,0,0,0,1,4,3,0,0,0,7,5,12,0,0,0,22,2,5
c109449_g1,2,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,1
c109548_g1,0,0,1,6,6,3,0,0,1,8,8,6,0,0,1,3,2,3,0,0,1,5,1,3
c109641_g1,0,1,4,1,0,2,0,1,4,2,6,5,0,1,4,1,0,2,0,1,4,6,3,2
c109755_g2,7,2,4,1,1,1,7,2,4,0,2,2,7,2,4,2,2,4,7,2,4,0,1,3
c109864_g1,0,0,0,5,0,3,0,0,0,2,18,9,0,0,0,0,0,0,0,0,0,3,1,0
c109969_g1,1,0,0,1,1,0,1,0,0,1,6,3,1,0,0,0,1,6,1,0,0,5,4,4
c110074_g1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,26
c11016_g1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,1,0,0,0,2,1,3
c110267_g1,0,2,0,0,0,4,0,2,0,2,1,0,0,2,0,0,1,4,0,2,0,0,1,44
c110362_g1,1,1,0,1,3,2,1,1,0,3,3,0,1,1,0,0,0,1,1,1,0,0,2,2
c110467_g1,0,0,0,3,4,5,0,0,0,6,9,7,0,0,0,0,1,9,0,0,0,13,5,8
c110606_g2,3,0,2,13,8,5,3,0,2,8,17,12,3,0,2,2,3,5,3,0,2,5,11,6
c1106_g1,0,0,0,2,2,3,0,0,0,3,11,6,0,0,0,3,1,6,0,0,0,4,4,1
c110798_g2,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,2,2,0,1,0,3,0,0
c110903_g1,14,20,10,0,0,0,14,20,10,0,0,0,14,20,10,2,0,0,14,20,10,11,0,0
c111004_g1,2,1,1,4,1,1,2,1,1,3,3,6,2,1,1,2,2,6,2,1,1,0,0,1
c111091_g1,4,0,0,5,4,6,4,0,0,0,6,4,4,0,0,5,4,1,4,0,0,6,4,1
c111186_g1,2,2,2,6,2,1,2,2,2,5,5,1,2,2,2,5,3,0,2,2,2,4,1,1
c111293_g1,17,8,6,2,1,2,17,8,6,3,7,3,17,8,6,2,4,6,17,8,6,1,5,4
c111383_g1,2,1,2,10,3,2,2,1,2,3,4,4,2,1,2,0,0,0,2,1,2,3,1,2
c111480_g1,0,0,0,3,3,2,0,0,0,2,0,1,0,0,0,1,0,2,0,0,0,0,2,1
c111599_g1,0,0,0,0,0,2,0,0,0,4,4,1,0,0,0,1,1,0,0,0,0,5,1,2
c111707_g1,0,0,1,2,4,3,0,0,1,2,3,1,0,0,1,0,1,3,0,0,1,6,2,1
c111804_g1,0,2,0,0,0,1,0,2,0,3,10,5,0,2,0,2,1,2,0,2,0,7,1,1
c111903_g1,0,0,0,0,2,5,0,0,0,2,9,7,0,0,0,0,0,3,0,0,0,4,1,4
c112040_g1,3,0,1,4,3,6,3,0,1,1,4,12,3,0,1,3,1,2,3,0,1,9,4,1
c112170_g1,0,0,0,0,4,0,0,0,0,2,3,0,0,0,0,4,2,0,0,0,0,4,1,0
c112306_g1,0,0,0,2,2,1,0,0,0,1,0,2,0,0,0,4,0,4,0,0,0,12,0,1
c112414_g1,0,0,0,2,0,0,0,0,0,2,1,2,0,0,0,0,2,0,0,0,0,0,0,1
c112571_g1,0,0,0,0,2,1,0,0,0,1,2,4,0,0,0,0,0,2,0,0,0,3,2,1
c112696_g1,0,0,0,2,0,2,0,0,0,1,4,2,0,0,0,1,1,1,0,0,0,6,1,6
c112791_g1,0,0,0,3,2,1,0,0,0,6,8,5,0,0,0,3,1,1,0,0,0,1,1,3
c112932_g1,0,0,0,0,0,1,0,0,0,3,6,1,0,0,0,0,1,5,0,0,0,6,5,5
c113048_g1,0,0,0,2,1,1,0,0,0,1,2,2,0,0,0,4,1,1,0,0,0,8,1,4
c113183_g1,0,0,0,7,6,7,0,0,0,11,9,15,0,0,0,10,4,18,0,0,0,23,13,10
c113333_g1,2,1,0,3,4,4,2,1,0,4,2,1,2,1,0,7,1,11,2,1,0,5,1,3
c113457_g1,0,0,0,0,2,4,0,0,0,2,1,1,0,0,0,1,2,5,0,0,0,8,1,3
c113556_g1,0,1,0,2,8,3,0,1,0,0,3,1,0,1,0,4,0,0,0,1,0,5,1,3
c113696_g1,0,0,0,6,3,4,0,0,0,2,9,3,0,0,0,2,0,5,0,0,0,7,5,5
c113816_g1,0,0,0,2,1,3,0,0,0,2,2,3,0,0,0,1,1,0,0,0,0,1,1,0
c113917_g1,0,0,0,4,4,2,0,0,0,7,16,12,0,0,0,3,3,5,0,0,0,8,6,2
c114034_g1,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0,0,4,5,0
c114160_g1,0,0,0,1,2,0,0,0,0,4,10,13,0,0,0,0,3,1,0,0,0,4,1,0
c114276_g1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,2,0,0
c11438_g1,0,0,0,2,0,1,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,3,1,0
c114463_g1,0,1,0,1,0,2,0,1,0,1,2,1,0,1,0,0,0,1,0,1,0,9,2,5
c114635_g1,7,17,7,3,0,2,7,17,7,10,1,1,7,17,7,3,3,1,7,17,7,1,2,2
c114760_g1,0,0,0,2,6,5,0,0,0,12,12,2,0,0,0,3,0,0,0,0,0,6,1,0
c114909_g1,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,2,1
c115015_g1,1,1,3,3,0,1,1,1,3,0,1,0,1,1,3,0,0,0,1,1,3,1,1,12
c115131_g1,0,0,0,3,3,2,0,0,0,10,9,6,0,0,0,0,1,0,0,0,0,3,1,3
c115249_g1,0,0,0,0,2,2,0,0,0,5,5,6,0,0,0,1,0,18,0,0,0,10,3,10
c115352_g1,0,0,0,7,7,5,0,0,0,9,11,16,0,0,0,10,4,2,0,0,0,13,10,2
c115452_g1,0,1,5,5,2,4,0,1,5,3,7,1,0,1,5,16,2,5,0,1,5,9,2,5
c115573_g1,0,0,0,0,2,1,0,0,0,2,7,6,0,0,0,2,0,10,0,0,0,8,6,1
c115721_g1,0,0,0,2,1,1,0,0,0,6,8,4,0,0,0,0,1,2,0,0,0,2,1,0
c115868_g1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2,2,0
c116003_g1,1,0,1,12,17,18,1,0,1,17,19,15,1,0,1,20,8,7,1,0,1,26,10,5
c116122_g1,1,2,2,5,2,5,1,2,2,2,7,2,1,2,2,0,1,1,1,2,2,3,4,0
c116288_g1,0,0,2,11,1,0,0,0,2,0,0,1,0,0,2,2,0,0,0,0,2,0,3,14
c116397_g1,0,0,0,1,1,3,0,0,0,1,2,2,0,0,0,2,1,7,0,0,0,1,2,1
c116530_g1,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,6,1,3
